Tree Decompositions,Times
Features_tree51-3.ml.csv,5.507
Features_tree19-8.ml.csv,4.451
Features_tree76-7.ml.csv,4.035
Features_tree71-10.ml.csv,24.365
Features_tree78-2.ml.csv,6.164
Features_tree25-6.ml.csv,1.405
Features_tree46-2.ml.csv,13.456
Features_tree44-6.ml.csv,4.314
Features_tree12-4.ml.csv,6.585
Features_tree29-4.ml.csv,1.238
Features_tree74-7.ml.csv,1.068
Features_tree50-6.ml.csv,6.838
Features_tree71-5.ml.csv,22.853
Features_tree56-3.ml.csv,5.861
Features_tree29-1.ml.csv,1.546
Features_tree63-2.ml.csv,2.825
Features_tree41-4.ml.csv,1.17
Features_tree64-2.ml.csv,1.046
Features_tree62-4.ml.csv,2.759
Features_tree71-6.ml.csv,24.003
Features_tree62-10.ml.csv,2.857
Features_tree68-8.ml.csv,11.65
Features_tree15-3.ml.csv,3.294
Features_tree61-9.ml.csv,8.389
Features_tree24-8.ml.csv,29.073
Features_tree66-4.ml.csv,1.032
Features_tree23-6.ml.csv,7.078
Features_tree49-6.ml.csv,5.857
Features_tree53-2.ml.csv,4.863
Features_tree57-5.ml.csv,3.181
Features_tree75-3.ml.csv,1.246
Features_tree28-3.ml.csv,6.205
Features_tree13-7.ml.csv,5.066
Features_tree59-4.ml.csv,4.23
Features_tree54-9.ml.csv,8.688
Features_tree46-9.ml.csv,15.561
Features_tree24-1.ml.csv,27.552
Features_tree79-5.ml.csv,6.537
Features_tree52-5.ml.csv,0.899
Features_tree12-7.ml.csv,3.827
Features_tree45-6.ml.csv,5.044
Features_tree56-8.ml.csv,6.443
Features_tree51-2.ml.csv,6.068
Features_tree48-8.ml.csv,7.479
Features_tree26-6.ml.csv,8.24
Features_tree74-4.ml.csv,0.901
Features_tree66-8.ml.csv,0.859
Features_tree59-7.ml.csv,4.956
Features_tree19-7.ml.csv,4.265
Features_tree14-5.ml.csv,3.043
Features_tree73-7.ml.csv,0.945
Features_tree30-5.ml.csv,4.513
Features_tree52-7.ml.csv,1.03
Features_tree51-4.ml.csv,6.165
Features_tree16-2.ml.csv,2.404
Features_tree19-3.ml.csv,4.917
Features_tree14-2.ml.csv,3.532
Features_tree47-10.ml.csv,6.964
Features_tree57-10.ml.csv,3.6
Features_tree21-9.ml.csv,8.332
Features_tree20-2.ml.csv,14.518
Features_tree66-10.ml.csv,1.007
Features_tree47-1.ml.csv,6.725
Features_tree52-3.ml.csv,0.878
Features_tree21-8.ml.csv,8.243
Features_tree43-2.ml.csv,1.314
Features_tree61-5.ml.csv,8.637
Features_tree49-5.ml.csv,5.882
Features_tree24-4.ml.csv,26.339
Features_tree27-5.ml.csv,5.421
Features_tree65-1.ml.csv,2.328
Features_tree76-8.ml.csv,3.271
Features_tree47-9.ml.csv,5.676
Features_tree20-10.ml.csv,23.439
Features_tree68-2.ml.csv,9.662
Features_tree72-1.ml.csv,3.713
Features_tree26-2.ml.csv,7.687
Features_tree62-5.ml.csv,2.948
Features_tree52-10.ml.csv,1.036
Features_tree66-3.ml.csv,0.766
Features_tree17-10.ml.csv,3.846
Features_tree10-1.ml.csv,1.943
Features_tree19-10.ml.csv,4.629
Features_tree55-10.ml.csv,10.333
Features_tree10-10.ml.csv,2.025
Features_tree44-9.ml.csv,5.738
Features_tree21-6.ml.csv,8.848
Features_tree40-2.ml.csv,1.376
Features_tree11-7.ml.csv,9.303
Features_tree67-8.ml.csv,16.307
Features_tree56-1.ml.csv,5.271
Features_tree18-10.ml.csv,7.526
Features_tree27-6.ml.csv,5.219
Features_tree77-1.ml.csv,1.387
Features_tree73-5.ml.csv,1.149
Features_tree80-5.ml.csv,23.198
Features_tree40-3.ml.csv,2.157
Features_tree65-8.ml.csv,2.041
Features_tree27-10.ml.csv,5.292
Features_tree65-4.ml.csv,1.95
Features_tree80-10.ml.csv,16.948
Features_tree58-2.ml.csv,14.499
Features_tree29-10.ml.csv,2.088
Features_tree40-10.ml.csv,1.714
Features_tree12-3.ml.csv,5.383
Features_tree47-6.ml.csv,6.46
Features_tree46-8.ml.csv,17.098
Features_tree44-10.ml.csv,7.711
Features_tree73-10.ml.csv,0.994
Features_tree69-7.ml.csv,21.278
Features_tree50-9.ml.csv,6.311
Features_tree13-9.ml.csv,4.902
Features_tree71-4.ml.csv,23.292
Features_tree18-5.ml.csv,6.603
Features_tree28-4.ml.csv,6.534
Features_tree80-4.ml.csv,20.196
Features_tree59-10.ml.csv,4.528
Features_tree56-9.ml.csv,7.157
Features_tree77-2.ml.csv,1.56
Features_tree55-2.ml.csv,8.551
Features_tree51-1.ml.csv,5.801
Features_tree69-10.ml.csv,22.541
Features_tree68-3.ml.csv,9.481
Features_tree78-6.ml.csv,7.211
Features_tree41-6.ml.csv,1.012
Features_tree11-10.ml.csv,9.377
Features_tree11-5.ml.csv,9.21
Features_tree72-10.ml.csv,4.37
Features_tree72-7.ml.csv,3.654
Features_tree50-1.ml.csv,7.91
Features_tree56-2.ml.csv,6.523
Features_tree71-7.ml.csv,25.861
Features_tree55-7.ml.csv,9.929
Features_tree46-3.ml.csv,17.721
Features_tree63-8.ml.csv,2.882
Features_tree74-6.ml.csv,1.022
Features_tree72-2.ml.csv,4.459
Features_tree18-4.ml.csv,5.387
Features_tree75-4.ml.csv,1.458
Features_tree15-6.ml.csv,2.67
Features_tree72-9.ml.csv,5.162
Features_tree42-10.ml.csv,2.16
Features_tree55-9.ml.csv,8.619
Features_tree29-6.ml.csv,1.107
Features_tree52-8.ml.csv,1.055
Features_tree25-10.ml.csv,1.042
Features_tree22-6.ml.csv,2.131
Features_tree80-3.ml.csv,17.308
Features_tree30-2.ml.csv,3.386
Features_tree17-1.ml.csv,3.227
Features_tree21-4.ml.csv,7.611
Features_tree55-5.ml.csv,10.115
Features_tree76-10.ml.csv,4.873
Features_tree17-8.ml.csv,3.19
Features_tree22-10.ml.csv,2.366
Features_tree49-9.ml.csv,6.01
Features_tree58-4.ml.csv,13.883
Features_tree74-10.ml.csv,1.038
Features_tree40-4.ml.csv,1.837
Features_tree58-6.ml.csv,14.711
Features_tree57-2.ml.csv,3.104
Features_tree13-4.ml.csv,4.979
Features_tree17-3.ml.csv,3.249
Features_tree57-3.ml.csv,3.01
Features_tree60-4.ml.csv,3.308
Features_tree72-3.ml.csv,4.103
